frame,action,winner_attempt,production_run_path_original,archive_run_path,prompt_path,prompt_sha256,source_imagegen_path,source_imagegen_sha256,raw_path,raw_sha256,alpha_path,alpha_sha256,winner_source_path,winner_sha256,accepted_path,accepted_sha256,source_equals_accepted,provenance_path,parent_gate_summary
00,idle,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/a01/prompt.txt,c7537ed312a87487586861a853226c2677f9ddec41d97c32d63d8d556fd64f4d,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_WUUdUMySiaGdhkPv0SmOZdim.png,bf4bb71fef3ea051f19e8569a641b4114aa8ead20ad6b441083f23c9ad16ac3e,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/a01/raw/frame-00.png,bf4bb71fef3ea051f19e8569a641b4114aa8ead20ad6b441083f23c9ad16ac3e,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/a01/alpha/frame-00.png,9f8d184b8c5ae4603671c6979afd582b24ed5c1c20c212fbd37e2a5f99e0f734,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-00.png,9f8d184b8c5ae4603671c6979afd582b24ed5c1c20c212fbd37e2a5f99e0f734,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-00.png,9f8d184b8c5ae4603671c6979afd582b24ed5c1c20c212fbd37e2a5f99e0f734,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
01,idle,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/a01/prompt.txt,c694553a99b584c455e2b2bedf06e2039499c266a5ba138f0e8aad5d9b01366a,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_vbyHcaFLDbytkBrVBDF0ORGa.png,50317efdf95760450736a6709d86adf1ff0d84dbf468fbb3ed3fa3c5bbdb7a31,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/a01/raw/frame-01.png,50317efdf95760450736a6709d86adf1ff0d84dbf468fbb3ed3fa3c5bbdb7a31,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/a01/alpha/frame-01.png,5cca00bdd1609027c1eaf69ed18e39beebbff7a07ab67a2ab4b1d40c688213d4,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-01.png,5cca00bdd1609027c1eaf69ed18e39beebbff7a07ab67a2ab4b1d40c688213d4,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-01.png,5cca00bdd1609027c1eaf69ed18e39beebbff7a07ab67a2ab4b1d40c688213d4,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
02,idle,a02,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/a02/prompt.txt,db3117b08dcc71c67de2fbdf32dd8fb8a893b01a35ff295045b0dbfc56a16c47,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_w9FJ0BmmXSEIHUjjj2LXizIz.png,db161368e4eb662f61d847e0774a7db9a47645a7903c39c45e16230a1e27b8ab,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/a02/raw/frame-02.png,db161368e4eb662f61d847e0774a7db9a47645a7903c39c45e16230a1e27b8ab,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/a02/alpha/frame-02.png,71f014281893a5438722ca3dfff0ca5a8537ece84a78e81fe0893557d5fb33ca,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-02.png,71f014281893a5438722ca3dfff0ca5a8537ece84a78e81fe0893557d5fb33ca,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-02.png,71f014281893a5438722ca3dfff0ca5a8537ece84a78e81fe0893557d5fb33ca,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/a02/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
03,idle,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/a01/prompt.txt,230ce81927c1ec272535c5fe062bf19262224a2f56e87ab710389712f408c830,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_c4ZbCl39AhsidQ4o9ozurxdk.png,7ae056cf90ac7a577c5d982a90d1489b758864671662decd9bde037b2fba1242,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/a01/raw/frame-03.png,7ae056cf90ac7a577c5d982a90d1489b758864671662decd9bde037b2fba1242,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/a01/alpha/frame-03.png,e5e42ad5e347401a570412670453a763f0ef9ba4d4a6e253ee24577e41da4317,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-03.png,e5e42ad5e347401a570412670453a763f0ef9ba4d4a6e253ee24577e41da4317,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-03.png,e5e42ad5e347401a570412670453a763f0ef9ba4d4a6e253ee24577e41da4317,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
04,low_slink,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/a01/prompt.txt,205f25b24348d5651f288396d41e6f2460ab51a5ad8434835a8af2d9072ce567,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_XMqlk2Jry9trBf6VHIktwzZy.png,9b14455b6d99ece4d8ec4840c2b7eda5518deb8ab9d0701cc133067c3b0fae69,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/a01/raw/frame-04.png,9b14455b6d99ece4d8ec4840c2b7eda5518deb8ab9d0701cc133067c3b0fae69,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/a01/alpha/frame-04.png,0a2f09697ace66fb851de4b186790158bd58fbe195ff599baea79fba5f53a6a6,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-04.png,0a2f09697ace66fb851de4b186790158bd58fbe195ff599baea79fba5f53a6a6,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-04.png,0a2f09697ace66fb851de4b186790158bd58fbe195ff599baea79fba5f53a6a6,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
05,low_slink,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/a01/prompt.txt,15c2e6f15604d91ac61eb37b10bee2763ba2d36f1319617efff0edc104ebe0be,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_TqGpMN5zfs8f1ujt9QTVWR5H.png,f08e790c0e2ec19312279b821752721afe899ccc15fa5437aec73b0627ceaf7e,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/a01/raw/frame-05.png,f08e790c0e2ec19312279b821752721afe899ccc15fa5437aec73b0627ceaf7e,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/a01/alpha/frame-05.png,095fb400b9c647cc4483d60fd16d967dcd89769b1a633fdca69c69974aadd6d3,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-05.png,095fb400b9c647cc4483d60fd16d967dcd89769b1a633fdca69c69974aadd6d3,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-05.png,095fb400b9c647cc4483d60fd16d967dcd89769b1a633fdca69c69974aadd6d3,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
06,low_slink,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/a01/prompt.txt,4773c54eccbb34758a39de4ab56b7066959f98769a6f12eb9ae06a3eb6ff2709,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_Nfq6pj9b4FV6jFFTiQNO2GQA.png,7318d2c013a401f82fe421b22460bc742d4f5ce989099d0d4758ebc5e7e490ae,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/a01/raw/frame-06.png,7318d2c013a401f82fe421b22460bc742d4f5ce989099d0d4758ebc5e7e490ae,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/a01/alpha/frame-06.png,71bb4268822cec714eea355130ecb2d6a4e20609bf8467aa77bbe0c09fba5e22,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-06.png,71bb4268822cec714eea355130ecb2d6a4e20609bf8467aa77bbe0c09fba5e22,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-06.png,71bb4268822cec714eea355130ecb2d6a4e20609bf8467aa77bbe0c09fba5e22,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
07,low_slink,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/a01/prompt.txt,3e69953f543eab0506d317754684ab2e2acac44e77daacb3cee612e0073c169f,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_GMngEMSsgV9Kf2OnVeigHYF4.png,48d2d10ebf0ba96f4ab493004be78bdc2cd1cbd6f1298bc06987b4691ada07ca,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/a01/raw/frame-07.png,48d2d10ebf0ba96f4ab493004be78bdc2cd1cbd6f1298bc06987b4691ada07ca,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/a01/alpha/frame-07.png,4a29cc3390e48cec47e8ec2d054bf923d5c96e7495871fedfd6c23d2d61b3ebe,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/frames/frame-07.png,4a29cc3390e48cec47e8ec2d054bf923d5c96e7495871fedfd6c23d2d61b3ebe,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-07.png,4a29cc3390e48cec47e8ec2d054bf923d5c96e7495871fedfd6c23d2d61b3ebe,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
08,low_slink,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/a01/prompt.txt,659b8141aaea8f7509fcdfe1c781c1e6dbf85a7892c573c9dd77e21cf34380a7,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_PdrY12smPiYp6fCnmaXjMUF2.png,192cbac837afa0519a1bcfbfeab46a3f98d3bc8fd4b28b23d12e9061756cd8b1,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/a01/raw/frame-08.png,192cbac837afa0519a1bcfbfeab46a3f98d3bc8fd4b28b23d12e9061756cd8b1,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/a01/alpha/frame-08.png,e7c8f7b6a2d1a008e70eb4aa3232c8314d8f07a775159c2e4e5495c8a14acda8,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/frames/frame-08.png,e7c8f7b6a2d1a008e70eb4aa3232c8314d8f07a775159c2e4e5495c8a14acda8,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-08.png,e7c8f7b6a2d1a008e70eb4aa3232c8314d8f07a775159c2e4e5495c8a14acda8,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
09,low_slink,a01,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/a01/prompt.txt,4fd86a86b22536f38090bf03d4a9eff2af3c894fe71a076ac9611f9738cb3caa,C:/Users/User/.codex/generated_images/019f90f4-29ad-79d1-a72d-f5e73c495bc8/call_nwLWPKYpaCZRf8vUBKY2yxXi.png,4267a0990c20bc90133490fddee4cdbf5d7e2f5145620880fd4fd39e3951dec0,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/a01/raw/frame-09.png,4267a0990c20bc90133490fddee4cdbf5d7e2f5145620880fd4fd39e3951dec0,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/a01/alpha/frame-09.png,7e7818f439605e4fcea7d06cdb1f24ecd00714176a4e66128691749905755f53,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/frames/frame-09.png,7e7818f439605e4fcea7d06cdb1f24ecd00714176a4e66128691749905755f53,docs/art-source/ferret-albino/motion-source/accepted-frames/set00/frame-09.png,7e7818f439605e4fcea7d06cdb1f24ecd00714176a4e66128691749905755f53,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-albino-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/a01/verdict.json,docs/art-source/ferret-albino/motion-source/qa/parent-verdict-set00.md
