frame,action,winner_attempt,production_run_path_original,archive_run_path,prompt_path,prompt_sha256,source_imagegen_path,source_imagegen_sha256,raw_path,raw_sha256,alpha_path,alpha_sha256,winner_source_path,winner_sha256,accepted_path,accepted_sha256,source_equals_accepted,provenance_path,parent_gate_summary,source_frame,source_candidate_status,source_status_history,source_manifest_path,source_manifest_row_count,selection_evidence_path,final_acceptance_basis
00,idle,03,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-00-attempt-03.txt,ae0b6d1471b1543ac2a29d63b77d1aeb6d70e01a32e519bcd1c74d04bb46c1f8,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_qIWvNKPObiPG1L4hCY8wHPYh.png,26aba2b8a61ec422cb125f517aa3d188ea40cfda574f63cb20bfaaa139302369,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-00-attempt-03-raw.png,26aba2b8a61ec422cb125f517aa3d188ea40cfda574f63cb20bfaaa139302369,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-00-attempt-03-alpha.png,061b5c12a20f9b133b731a4caf01ca3da7f0c7d596e6f7f57604fedd97c05edf,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-00.png,061b5c12a20f9b133b731a4caf01ca3da7f0c7d596e6f7f57604fedd97c05edf,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-00.png,061b5c12a20f9b133b731a4caf01ca3da7f0c7d596e6f7f57604fedd97c05edf,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-00-attempt-03-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,00,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
01,idle,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-01-attempt-01.txt,877a5aaaefa6db4f92bf479c3b0359a699138163fc2b9e3ddaaf09141a903b35,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_eShygHJ6cjpDR9BwCdFmG0Q5.png,147a28fc4eeb5a981a64e9581a203b8e76337cc96c586c5c1138bd63afb52976,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-01-attempt-01-raw.png,147a28fc4eeb5a981a64e9581a203b8e76337cc96c586c5c1138bd63afb52976,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-01-attempt-01-alpha.png,f81c5f60e21efc71ba93d29e9902f03a05a0fffb7e01eb535281e5b43b09ff1c,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-01.png,f81c5f60e21efc71ba93d29e9902f03a05a0fffb7e01eb535281e5b43b09ff1c,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-01.png,f81c5f60e21efc71ba93d29e9902f03a05a0fffb7e01eb535281e5b43b09ff1c,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-01-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,01,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
02,idle,02,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-02-attempt-02.txt,26a06e21c0a8995c927ed0726fbebb5939530805d9303496a23d89890cafb791,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_TPkNZLRUouDcKAALMEg1FUqV.png,17ee65c8a396e9943f092c3eb7b2add0c98d9415c0bf3aff8bbea410acb6cecc,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-02-attempt-02-raw.png,17ee65c8a396e9943f092c3eb7b2add0c98d9415c0bf3aff8bbea410acb6cecc,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-02-attempt-02-alpha.png,26725bbf2590116532be53211b54f3aa2014ae2d00b79d7f99caa09750636ed9,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-02.png,26725bbf2590116532be53211b54f3aa2014ae2d00b79d7f99caa09750636ed9,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-02.png,26725bbf2590116532be53211b54f3aa2014ae2d00b79d7f99caa09750636ed9,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-02-attempt-02-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,02,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
03,idle,03,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-03-attempt-03.txt,43e38753239fd19c57ca894e9f9ff0faf3cf58ca1506f04a7ba2ca0993f62691,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_UIvZG2QFv8oYeyX0wdrGA3hZ.png,28c638444e11aacd596dc2225dc3b248afe74066125844815b6f9f5057b642d4,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-03-attempt-03-raw.png,28c638444e11aacd596dc2225dc3b248afe74066125844815b6f9f5057b642d4,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-03-attempt-03-alpha.png,01bda673ebb539267e89f616d53a134b43736776f1c7bfb93c0c3b686cd54c13,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-03.png,01bda673ebb539267e89f616d53a134b43736776f1c7bfb93c0c3b686cd54c13,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-03.png,01bda673ebb539267e89f616d53a134b43736776f1c7bfb93c0c3b686cd54c13,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-03-attempt-03-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,03,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
04,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-04-attempt-01.txt,794634195a9b9715dca8b8cc3a262e87bba4b40429940f56c10ac3b0cd0a5c42,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_Zoxu49T5Ho9Gry7LFa07gGGl.png,0fb097dead1ee10578a771a3ef8bfe640bffd55a65b5d38e7bebdce9bb58af83,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-04-attempt-01-raw.png,0fb097dead1ee10578a771a3ef8bfe640bffd55a65b5d38e7bebdce9bb58af83,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-04-attempt-01-alpha.png,77a03b474aebed243bdfd9ee12d68c0dd001de89cd3e05b970bc7d459f00f130,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-04.png,77a03b474aebed243bdfd9ee12d68c0dd001de89cd3e05b970bc7d459f00f130,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-04.png,77a03b474aebed243bdfd9ee12d68c0dd001de89cd3e05b970bc7d459f00f130,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-04-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,04,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
05,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-05-attempt-01.txt,de9524d2f99bf00650d631136c520112a2221114ba6a46640b3f3c95eb497d32,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_CDIDPVSdPCR3QI5EeF5YCLjt.png,d45e5aa0ea8bd30896e6091dca34224b7f3a64c5474e43288cf9c28d9e34aacb,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-05-attempt-01-raw.png,d45e5aa0ea8bd30896e6091dca34224b7f3a64c5474e43288cf9c28d9e34aacb,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-05-attempt-01-alpha.png,61f4d784ef74471d75bcd06fd5fc2b4d478a9eeea05877aaca651830ae5f6b3e,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-05.png,61f4d784ef74471d75bcd06fd5fc2b4d478a9eeea05877aaca651830ae5f6b3e,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-05.png,61f4d784ef74471d75bcd06fd5fc2b4d478a9eeea05877aaca651830ae5f6b3e,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-05-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,05,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
06,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-06-attempt-01.txt,bb0c662934ec38729a4e9e9af5cb82f29787ba3b0d2df891e588688b36bd20b4,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_oqjEKBKwn6cHp9iuEn6jl9db.png,4e04b89e86a32d41e058c204138cb33c1c77d3a02f5cc81716f94cc5f5c8d315,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-06-attempt-01-raw.png,4e04b89e86a32d41e058c204138cb33c1c77d3a02f5cc81716f94cc5f5c8d315,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-06-attempt-01-alpha.png,349e11d2ab9acbf78c1f836191ada3d6a376a464c2422c1d80a0843d6603808c,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-06.png,349e11d2ab9acbf78c1f836191ada3d6a376a464c2422c1d80a0843d6603808c,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-06.png,349e11d2ab9acbf78c1f836191ada3d6a376a464c2422c1d80a0843d6603808c,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-06-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,06,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
07,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-07-attempt-01.txt,51d0270b64db9ae5a610037a9156896ccb3f3341a9429d518822a7d882320889,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_tBtvcRgTRK6NIO2if6GUhdrI.png,3801f9f9a3ec371cf136b8678ce4697e6a2c97489f7a27df8d9b83a3445b5287,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-07-attempt-01-raw.png,3801f9f9a3ec371cf136b8678ce4697e6a2c97489f7a27df8d9b83a3445b5287,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-07-attempt-01-alpha.png,091beb8f070018ef0b0fc2303622e02629f3306c8f38bddb5506f556deb512b2,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-07.png,091beb8f070018ef0b0fc2303622e02629f3306c8f38bddb5506f556deb512b2,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-07.png,091beb8f070018ef0b0fc2303622e02629f3306c8f38bddb5506f556deb512b2,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-07-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,07,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
08,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-08-attempt-01.txt,bc1c8e48dddeef6075d7be4be330899cd4d04273b50465d64a251500010cdbff,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_9R00ekPzJnvWQb47g2JCjlqQ.png,6bf54a5e73457a5f282873844f18ed755ccc41c100f4e1c68ed75b78e178a0d8,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-08-attempt-01-raw.png,6bf54a5e73457a5f282873844f18ed755ccc41c100f4e1c68ed75b78e178a0d8,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-08-attempt-01-alpha.png,3b58eab49e6d0f4dce2f393673f27e83a3f8fc44b9a714570699a1e3cabbe9b0,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-08.png,3b58eab49e6d0f4dce2f393673f27e83a3f8fc44b9a714570699a1e3cabbe9b0,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-08.png,3b58eab49e6d0f4dce2f393673f27e83a3f8fc44b9a714570699a1e3cabbe9b0,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-08-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,08,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
09,low_slink,02,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-09-attempt-02.txt,dd8c8b3b694aed0b3a9b241700bab463f3a27656cb2e8f13dc7e5f0a63e0eb1f,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_HngROtC0E5Xn8rPNAx7osZ9y.png,0e978c09d8a24d25fe450214a724dc143ae534ef1765ed24883a7d3700f5181f,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-09-attempt-02-raw.png,0e978c09d8a24d25fe450214a724dc143ae534ef1765ed24883a7d3700f5181f,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-09-attempt-02-alpha.png,deaa5b867b019a17d1013a3d8ac1d6a852efb4629fe5c688c9fdb56c78938eb5,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-09.png,deaa5b867b019a17d1013a3d8ac1d6a852efb4629fe5c688c9fdb56c78938eb5,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-09.png,deaa5b867b019a17d1013a3d8ac1d6a852efb4629fe5c688c9fdb56c78938eb5,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-09-attempt-02-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,09,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
10,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-panda-set00-oneframe-62,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/prompts/frame-10-attempt-01.txt,9fee355bb04200a0d422d15360c6f05dff1fa5d918c896d6d3839a8dfc1390aa,C:/Users/User/.codex/generated_images/019f90f3-d60e-7912-bf25-1266d016ed57/call_sJsON4pcixV4qiGzxjwcJKOV.png,1e87afe15d4ce74ec106673ec031c876bf29a94fef6a3ebb7004e6aa866b6919,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/raw/frame-10-attempt-01-raw.png,1e87afe15d4ce74ec106673ec031c876bf29a94fef6a3ebb7004e6aa866b6919,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/alpha/frame-10-attempt-01-alpha.png,d2e071530aa97f3ac54acf3b4b54012dcfd1263df1f255361e982ba8e0b1db66,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/frames/frame-10.png,d2e071530aa97f3ac54acf3b4b54012dcfd1263df1f255361e982ba8e0b1db66,docs/art-source/ferret-sable-panda/motion-source/accepted-frames/set00/frame-10.png,d2e071530aa97f3ac54acf3b4b54012dcfd1263df1f255361e982ba8e0b1db66,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/frame-10-attempt-01-prepare.json,docs/art-source/ferret-sable-panda/motion-source/qa/parent-verdict-set00.md,10,candidate_parent_gate,candidate_parent_gate,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/manifest.csv,1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-panda-set00-oneframe-62/qa/final-53-61/final-62/canonical-00-61-verification.json,unique archived alpha SHA-256 equals accepted frame; parent-approved final canonical set
