frame,action,winner_attempt,production_run_path_original,archive_run_path,prompt_path,prompt_sha256,source_imagegen_path,source_imagegen_sha256,raw_path,raw_sha256,alpha_path,alpha_sha256,winner_source_path,winner_sha256,accepted_path,accepted_sha256,source_equals_accepted,provenance_path,parent_gate_summary
00,idle,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-00-attempt-01.txt,441a80c2c543bed76e8deea26fc3e55970354d33692114112b9e4b1154939263,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_ndoOndW0hVYOelKRPSLHL38C.png,35cabf2fc8a34a42083c254606accada9eae86c300cc04da839fb79eeff0259b,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/attempt-01/raw.png,35cabf2fc8a34a42083c254606accada9eae86c300cc04da839fb79eeff0259b,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/attempt-01/alpha.png,0be68084ba64d73a17477987b39d9fb54dd9c7a16c34c072d045f2375cb60509,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-00.png,0be68084ba64d73a17477987b39d9fb54dd9c7a16c34c072d045f2375cb60509,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-00.png,0be68084ba64d73a17477987b39d9fb54dd9c7a16c34c072d045f2375cb60509,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-00/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
01,idle,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-01-attempt-01.txt,41b974df49a52e4f11fc6a55fec198e08340fd7252e79d7a2af237af00b14614,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_zMXKmgVZ8OZbWyXveDOd9LKl.png,7db1aa974566d1114855882c3645dd26617b8d442fb92c62bc76f30e1c439657,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/attempt-01/raw.png,7db1aa974566d1114855882c3645dd26617b8d442fb92c62bc76f30e1c439657,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/attempt-01/alpha.png,7f48ff387362886498643860cf44c56178bc52afe231ecd5dff7f86f75a13506,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-01.png,7f48ff387362886498643860cf44c56178bc52afe231ecd5dff7f86f75a13506,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-01.png,7f48ff387362886498643860cf44c56178bc52afe231ecd5dff7f86f75a13506,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-01/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
02,idle,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-02-attempt-01.txt,284ccb6481bc1e5478ae4ed07faa413b84e758e9be9a62488ee9cb57eca39fe5,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_OAg4WhtU3EZfnOljyLRvKPWB.png,afbce14c88f3308fef22bf39fe2959046c92332bb5251388a564af00e3f9e5f4,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/attempt-01/raw.png,afbce14c88f3308fef22bf39fe2959046c92332bb5251388a564af00e3f9e5f4,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/attempt-01/alpha.png,d87b8d950ef6d76d4875eba6e830f2d5fd3f9a989a8b4af091086ae7a03e800b,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-02.png,d87b8d950ef6d76d4875eba6e830f2d5fd3f9a989a8b4af091086ae7a03e800b,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-02.png,d87b8d950ef6d76d4875eba6e830f2d5fd3f9a989a8b4af091086ae7a03e800b,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-02/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
03,idle,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-03-attempt-01.txt,c0ae1ce3f65c5cee0ce8c8ce690d6ae0cb230a0477001f5ddeca76a542647e48,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_NsZEh6nJlUeYkHw3dTPVauUO.png,8a0d068166cf6d5c402d58c6d59b11f8421bf3eff9318cc2fbb1da3ffc2db55b,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/attempt-01/raw.png,8a0d068166cf6d5c402d58c6d59b11f8421bf3eff9318cc2fbb1da3ffc2db55b,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/attempt-01/alpha.png,d1720ee0053e7705c9293b2037a818b6d98f0623acb5b9a85a4b62cbdf857749,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-03.png,d1720ee0053e7705c9293b2037a818b6d98f0623acb5b9a85a4b62cbdf857749,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-03.png,d1720ee0053e7705c9293b2037a818b6d98f0623acb5b9a85a4b62cbdf857749,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-03/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
04,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-04-attempt-01.txt,4cb01e0f505a7571f92f750169508dac41bf6a51eff3f8ab86653544b5879c07,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_hQboVK5ZPtNEjAFEXjuhBbac.png,5ee8e49c098f5d38620d0a6c9d95572dc42ba65ffb7ca44d4901b6f7414512ed,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/attempt-01/raw.png,5ee8e49c098f5d38620d0a6c9d95572dc42ba65ffb7ca44d4901b6f7414512ed,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/attempt-01/alpha.png,5ac7f4e8d98c6e1a1d482b721732491484aab9b93f88bf0c4d054298f14e53d1,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-04.png,5ac7f4e8d98c6e1a1d482b721732491484aab9b93f88bf0c4d054298f14e53d1,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-04.png,5ac7f4e8d98c6e1a1d482b721732491484aab9b93f88bf0c4d054298f14e53d1,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-04/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
05,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-05-attempt-01.txt,c54feea5dc57c4a526a5831b031fda7c08f009f101c1a5ee4a252c08b2f23e63,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_MJiQA7NTs5FUTyEh4QU39r0W.png,af3b4bc3e297ec2e3be4719159b5bc43eccd786035069f0c1c191ebd830a2680,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/attempt-01/raw.png,af3b4bc3e297ec2e3be4719159b5bc43eccd786035069f0c1c191ebd830a2680,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/attempt-01/alpha.png,ca681276e21985e47e69a0ea6b37117186835442f9942bd9023499ff01c13520,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-05.png,ca681276e21985e47e69a0ea6b37117186835442f9942bd9023499ff01c13520,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-05.png,ca681276e21985e47e69a0ea6b37117186835442f9942bd9023499ff01c13520,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-05/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
06,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-06-attempt-01.txt,8a469083a2b634654d159b6813f0e8e9549f933659dfe318ed449d104f584e7b,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_bOe2FWd1vbeWM1xufD5NG5MD.png,dab8c9b3801dacd44cf8e32b5c3088d3a6e3950cb675d8128ed72cfb1ecf402f,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/attempt-01/raw.png,dab8c9b3801dacd44cf8e32b5c3088d3a6e3950cb675d8128ed72cfb1ecf402f,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/attempt-01/alpha.png,5c371c7247f4720940c558ea1c538aaf9e461572eb98739a2b46916f320210f3,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-06.png,5c371c7247f4720940c558ea1c538aaf9e461572eb98739a2b46916f320210f3,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-06.png,5c371c7247f4720940c558ea1c538aaf9e461572eb98739a2b46916f320210f3,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-06/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
07,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/prompts/frame-07-attempt-01.txt,6acddb206efb4b658e48fa1264a40c8f91305f87beaa3fd80547ba75a7fc9584,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_9SGCQ5boTnJ9xoL0ep7pHc7A.png,1961eeb447080a4a5cdd25d31178bdff228eaca488a6ff8dc35aac17f3dea109,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/attempt-01/raw.png,1961eeb447080a4a5cdd25d31178bdff228eaca488a6ff8dc35aac17f3dea109,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/attempt-01/alpha.png,ea67783aa2aad2d29a188cb068d3e81f1c45fc4ee4da3a47c8b18b371b7834d5,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/winners/frame-07.png,ea67783aa2aad2d29a188cb068d3e81f1c45fc4ee4da3a47c8b18b371b7834d5,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-07.png,ea67783aa2aad2d29a188cb068d3e81f1c45fc4ee4da3a47c8b18b371b7834d5,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-00-07-20260724/attempts/frame-07/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
08,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/prompts/frame-08-attempt-01.txt,fef9dbb7ae3bc30ea6b8251d41d54981ca6a74ff7fad1b4e7bf11bf8f6ac319f,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_3mHezQFkJRxORsvIKpYX8mEN.png,187c37efb8824a09723762f3be55b3951f4e45f7fc0dd0bb65269c54986a9760,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/attempt-01/raw.png,187c37efb8824a09723762f3be55b3951f4e45f7fc0dd0bb65269c54986a9760,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/attempt-01/alpha.png,dfa73f657fc6e7c6c544419ea3eff05188ccc4a155a1fc63fbe11e6fb72fb8a8,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/winners/frame-08.png,dfa73f657fc6e7c6c544419ea3eff05188ccc4a155a1fc63fbe11e6fb72fb8a8,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-08.png,dfa73f657fc6e7c6c544419ea3eff05188ccc4a155a1fc63fbe11e6fb72fb8a8,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-08/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
09,low_slink,01,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725,E:/Development/AnimalDesktop-asset-archives/20260724-ferret-three-variants/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/prompts/frame-09-attempt-01.txt,74fae1a0c14339930e4dbd138b31b72b8f0f6b6b717fc79b96f47360ee4f6364,C:/Users/User/.codex/generated_images/019f9294-327f-7592-a014-99ee348d38f3/call_hOAG4Cy8IejhqzleXwHthxTF.png,3974d1f5ff19f1e19f617270a318180c5076ff9fd877be308df7864e37e2b8ef,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/attempt-01/raw.png,3974d1f5ff19f1e19f617270a318180c5076ff9fd877be308df7864e37e2b8ef,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/attempt-01/alpha.png,ecdef524eccc2510d37e8cb0f7e88b4c4894c23706f14de8fa03bc0d74014f44,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/winners/frame-09.png,ecdef524eccc2510d37e8cb0f7e88b4c4894c23706f14de8fa03bc0d74014f44,docs/art-source/ferret-sable/motion-source/accepted-frames/set00/frame-09.png,ecdef524eccc2510d37e8cb0f7e88b4c4894c23706f14de8fa03bc0d74014f44,true,docs/art-source/one-frame-method-fullrun-20260724/ferret-sable-set00-oneframe-62/oneframe-coat-08-15-20260725/attempts/frame-09/attempt-01/provenance.json,docs/art-source/ferret-sable/motion-source/qa/parent-verdict-set00.md
