"variant","sample","mode","parsed","rejected","cell","rejects"
"E","01","cell-recentered","4","4","512x512","set00-frame-00:transparent/chroma pinholes: holes=1 area=8 largest=8 / set00-frame-03:transparent/chroma pinholes: holes=1 area=1 largest=1 / set00-frame-04:transparent/chroma pinholes: holes=1 area=6 largest=6 / set00-frame-06:transparent/chroma pinholes: holes=1 area=11 largest=11"
"E","01","greenfixed","3","5","443x443","set00-frame-00:transparent/chroma pinholes: holes=1 area=8 largest=8 / set00-frame-03:transparent/chroma pinholes: holes=1 area=1 largest=1 / set00-frame-04:transparent/chroma pinholes: holes=1 area=6 largest=6 / set00-frame-06:transparent/chroma pinholes: holes=1 area=11 largest=11 / set00-frame-07:disconnected alpha components: components=4 detached=1 detached_area=5 largest_detached=5"
"E","01","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 1325 / set00-frame-01:content exists in x-boundary guard column 1325 / set00-frame-02:content exists in x-boundary guard column 1325 / set00-frame-03:content exists in x-boundary guard column 1325 / set00-frame-04:content exists in x-boundary guard column 1325 / set00-frame-05:content exists in x-boundary guard column 1325 / set00-frame-06:content exists in x-boundary guard column 1325 / set00-frame-07:content exists in x-boundary guard column 1325"
"E","02","cell-recentered","5","3","512x512","set00-frame-00:transparent/chroma pinholes: holes=2 area=4 largest=2 / set00-frame-02:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-06:transparent/chroma pinholes: holes=1 area=1 largest=1"
"E","02","greenfixed","5","3","443x443","set00-frame-00:transparent/chroma pinholes: holes=2 area=4 largest=2 / set00-frame-02:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-06:transparent/chroma pinholes: holes=1 area=1 largest=1"
"E","02","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"E","03","cell-recentered","5","3","512x512","set00-frame-00:transparent/chroma pinholes: holes=1 area=1 largest=1 / set00-frame-04:transparent/chroma pinholes: holes=1 area=1 largest=1 / set00-frame-05:disconnected alpha components: components=2 detached=1 detached_area=4 largest_detached=4"
"E","03","greenfixed","5","3","443x443","set00-frame-00:transparent/chroma pinholes: holes=1 area=1 largest=1 / set00-frame-04:transparent/chroma pinholes: holes=1 area=1 largest=1 / set00-frame-05:disconnected alpha components: components=2 detached=1 detached_area=4 largest_detached=4"
"E","03","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
"E","04","cell-recentered","3","5","512x512","set00-frame-00:transparent/chroma pinholes: holes=2 area=5 largest=4 / set00-frame-02:transparent/chroma pinholes: holes=2 area=38 largest=35 / set00-frame-03:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-04:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-06:transparent/chroma pinholes: holes=1 area=45 largest=45"
"E","04","greenfixed","3","5","443x443","set00-frame-00:transparent/chroma pinholes: holes=2 area=5 largest=4 / set00-frame-02:transparent/chroma pinholes: holes=2 area=38 largest=35 / set00-frame-03:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-04:transparent/chroma pinholes: holes=1 area=2 largest=2 / set00-frame-06:transparent/chroma pinholes: holes=1 area=45 largest=45"
"E","04","raw","0","8","443x443","set00-frame-00:content exists in x-boundary guard column 439 / set00-frame-01:content exists in x-boundary guard column 439 / set00-frame-02:content exists in x-boundary guard column 439 / set00-frame-03:content exists in x-boundary guard column 439 / set00-frame-04:content exists in x-boundary guard column 439 / set00-frame-05:content exists in x-boundary guard column 439 / set00-frame-06:content exists in x-boundary guard column 439 / set00-frame-07:content exists in x-boundary guard column 439"
